FIELD	VALUE	VERSION
FUNNEL_STAGE	AWARENESS	1.0
FUNNEL_STAGE	CONSIDERATION	1.0
FUNNEL_STAGE	CONVERSION	1.0
FUNNEL_STAGE	RETENTION	1.0
CAMPAIGN_ROLE	AWARENESS	1.0
CAMPAIGN_ROLE	EDUCATION	1.0
CAMPAIGN_ROLE	PROBLEM_SOLUTION	1.0
CAMPAIGN_ROLE	ENGAGEMENT	1.0
CAMPAIGN_ROLE	PRODUCT_BENEFIT	1.0
CAMPAIGN_ROLE	USE_CASE	1.0
CAMPAIGN_ROLE	TRUST	1.0
CAMPAIGN_ROLE	CONVERSION	1.0
CAMPAIGN_ROLE	REMINDER	1.0
CAMPAIGN_ROLE	CROSS_SELL	1.0
VISUAL_TYPE	PRODUCT_HERO	1.0
VISUAL_TYPE	LIFESTYLE	1.0
VISUAL_TYPE	PARENT_CHILD	1.0
VISUAL_TYPE	STUDENT_ACTIVITY	1.0
VISUAL_TYPE	TEACHER_CLASSROOM	1.0
VISUAL_TYPE	PUZZLE_CHALLENGE	1.0
VISUAL_TYPE	BENEFIT	1.0
VISUAL_TYPE	INFOGRAPHIC	1.0
VISUAL_TYPE	COMPETITION	1.0
VISUAL_TYPE	PRODUCT_BOX	1.0
PLATFORM	FACEBOOK	1.0
PLATFORM	LINE_OA	1.0
PLATFORM	MARKETPLACE	1.0
PLATFORM	LANDING_PAGE	1.0
