SKU	GRID_SIZE	VARIANT_SCOPE	EXACT_COMPOSITION_STATUS	EXACT_COMPOSITION	DETAIL_CLAIM_POLICY	VERSION
BK-EL-MIX-EASY-01	6x6	Classic; Alphabet; Diagonal; Jigsaw; Thai Alphabet	UNSPECIFIED		May claim 6x6 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-EL-MIX-MEDIUM-01	6x6	Classic; Alphabet; Diagonal; Jigsaw; Thai Alphabet	UNSPECIFIED		May claim 6x6 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-EL-MIX-HARD-01	6x6	Classic; Alphabet; Diagonal; Jigsaw; Thai Alphabet	UNSPECIFIED		May claim 6x6 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-EL-MIX-EXPERT-01	6x6	Classic; Alphabet; Diagonal; Jigsaw; Thai Alphabet	UNSPECIFIED		May claim 6x6 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-EL-MIX-DEVIL-01	6x6	Classic; Alphabet; Diagonal; Jigsaw; Thai Alphabet	UNSPECIFIED		May claim 6x6 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-UP-MIX-EASY-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-UP-MIX-MEDIUM-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-UP-MIX-HARD-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-UP-MIX-EXPERT-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-UP-MIX-DEVIL-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-LS-MIX-EASY-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-LS-MIX-MEDIUM-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-LS-MIX-HARD-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-LS-MIX-EXPERT-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-LS-MIX-DEVIL-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-US-MIX-EASY-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-US-MIX-MEDIUM-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-US-MIX-HARD-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-US-MIX-EXPERT-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
BK-US-MIX-DEVIL-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	UNSPECIFIED		May claim 9x9 and mixed Sudoku. Do not claim named variant membership, ratios, or counts unless explicitly present in approved source data.	1.0
CP-EL-NAT-COMP-01	6x6	Classic; Alphabet; Diagonal; Jigsaw; Thai Alphabet	CUSTOM_TRAINING_MIX		May claim 6x6, mixed types, mixed difficulty, and training/preparation. Do not claim exact type counts or exhaustive official coverage unless explicitly approved.	1.0
CP-UP-NAT-COMP-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	CUSTOM_TRAINING_MIX		May claim 9x9, mixed types, mixed difficulty, and training/preparation. Do not claim exact type counts or exhaustive official coverage unless explicitly approved.	1.0
CP-LS-NAT-COMP-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	CUSTOM_TRAINING_MIX		May claim 9x9, mixed types, mixed difficulty, and training/preparation. Do not claim exact type counts or exhaustive official coverage unless explicitly approved.	1.0
CP-US-NAT-COMP-01	9x9	Classic; Alphabet; Diagonal; Jigsaw; Even-Odd; Jigsaw Diagonal; Windoku; Asterisk; Consecutive; Thai Alphabet	CUSTOM_TRAINING_MIX		May claim 9x9, mixed types, mixed difficulty, and training/preparation. Do not claim exact type counts or exhaustive official coverage unless explicitly approved.	1.0
