SKU	BRAND_NAME	PRODUCT_NAME	THAI_NAME	GRADE_BAND	INTERNAL_DIFFICULTY	DISPLAY_DIFFICULTY	PRODUCT_FORMAT	PUZZLE_COUNT	ANSWER_KEY_STATUS	OFFER_TYPE	CLAIM_POLICY_CLASS
BK-EL-MIX-EASY-01	BiiigBee Easy Maths	ประถมต้น Mixed Sudoku Pack EASY	ซูโดกุ ประถมต้น แบบผสม ระดับ EASY	ประถมต้น (ป.1–ป.3)	EASY	EASY	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-EL-MIX-MEDIUM-01	BiiigBee Easy Maths	ประถมต้น Mixed Sudoku Pack MEDIUM	ซูโดกุ ประถมต้น แบบผสม ระดับ MEDIUM	ประถมต้น (ป.1–ป.3)	MEDIUM	MEDIUM	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-EL-MIX-HARD-01	BiiigBee Easy Maths	ประถมต้น Mixed Sudoku Pack HARD	ซูโดกุ ประถมต้น แบบผสม ระดับ HARD	ประถมต้น (ป.1–ป.3)	HARD	HARD	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-EL-MIX-EXPERT-01	BiiigBee Easy Maths	ประถมต้น Mixed Sudoku Pack EXPERT	ซูโดกุ ประถมต้น แบบผสม ระดับ EXPERT	ประถมต้น (ป.1–ป.3)	EXPERT	EXPERT	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-EL-MIX-DEVIL-01	BiiigBee Easy Maths	ประถมต้น Mixed Sudoku Pack DEVIL	ซูโดกุ ประถมต้น แบบผสม ระดับ DEVIL	ประถมต้น (ป.1–ป.3)	DEVIL	GRANDMASTER	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-UP-MIX-EASY-01	BiiigBee Easy Maths	ประถมปลาย Mixed Sudoku Pack EASY	ซูโดกุ ประถมปลาย แบบผสม ระดับ EASY	ประถมปลาย (ป.4–ป.6)	EASY	EASY	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-UP-MIX-MEDIUM-01	BiiigBee Easy Maths	ประถมปลาย Mixed Sudoku Pack MEDIUM	ซูโดกุ ประถมปลาย แบบผสม ระดับ MEDIUM	ประถมปลาย (ป.4–ป.6)	MEDIUM	MEDIUM	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-UP-MIX-HARD-01	BiiigBee Easy Maths	ประถมปลาย Mixed Sudoku Pack HARD	ซูโดกุ ประถมปลาย แบบผสม ระดับ HARD	ประถมปลาย (ป.4–ป.6)	HARD	HARD	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-UP-MIX-EXPERT-01	BiiigBee Easy Maths	ประถมปลาย Mixed Sudoku Pack EXPERT	ซูโดกุ ประถมปลาย แบบผสม ระดับ EXPERT	ประถมปลาย (ป.4–ป.6)	EXPERT	EXPERT	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-UP-MIX-DEVIL-01	BiiigBee Easy Maths	ประถมปลาย Mixed Sudoku Pack DEVIL	ซูโดกุ ประถมปลาย แบบผสม ระดับ DEVIL	ประถมปลาย (ป.4–ป.6)	DEVIL	GRANDMASTER	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-LS-MIX-EASY-01	BiiigBee Easy Maths	มัธยมต้น Mixed Sudoku Pack EASY	ซูโดกุ มัธยมต้น แบบผสม ระดับ EASY	มัธยมต้น (ม.1–ม.3)	EASY	EASY	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-LS-MIX-MEDIUM-01	BiiigBee Easy Maths	มัธยมต้น Mixed Sudoku Pack MEDIUM	ซูโดกุ มัธยมต้น แบบผสม ระดับ MEDIUM	มัธยมต้น (ม.1–ม.3)	MEDIUM	MEDIUM	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-LS-MIX-HARD-01	BiiigBee Easy Maths	มัธยมต้น Mixed Sudoku Pack HARD	ซูโดกุ มัธยมต้น แบบผสม ระดับ HARD	มัธยมต้น (ม.1–ม.3)	HARD	HARD	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-LS-MIX-EXPERT-01	BiiigBee Easy Maths	มัธยมต้น Mixed Sudoku Pack EXPERT	ซูโดกุ มัธยมต้น แบบผสม ระดับ EXPERT	มัธยมต้น (ม.1–ม.3)	EXPERT	EXPERT	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-LS-MIX-DEVIL-01	BiiigBee Easy Maths	มัธยมต้น Mixed Sudoku Pack DEVIL	ซูโดกุ มัธยมต้น แบบผสม ระดับ DEVIL	มัธยมต้น (ม.1–ม.3)	DEVIL	GRANDMASTER	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-US-MIX-EASY-01	BiiigBee Easy Maths	มัธยมปลาย Mixed Sudoku Pack EASY	ซูโดกุ มัธยมปลาย แบบผสม ระดับ EASY	มัธยมปลาย (ม.4–ม.6)	EASY	EASY	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
BK-US-MIX-MEDIUM-01	BiiigBee Easy Maths	มัธยมปลาย Mixed Sudoku Pack MEDIUM	ซูโดกุ มัธยมปลาย แบบผสม ระดับ MEDIUM	มัธยมปลาย (ม.4–ม.6)	MEDIUM	MEDIUM	Printable PDF; Optional Print-on-Demand	500	Included for all 500 puzzles	STANDARD_SINGLE_DIFFICULTY_MIXED_TYPES	STANDARD_SAFE
