PROMPT_TEMPLATE_ID	VISUAL_TYPE	VERSION	STATUS
IMG-PRODUCT-HERO-V1	PRODUCT_HERO	1.0	APPROVED
IMG-LIFESTYLE-V1	LIFESTYLE	1.0	APPROVED
IMG-PARENT-CHILD-V1	PARENT_CHILD	1.0	APPROVED
IMG-STUDENT-ACTIVITY-V1	STUDENT_ACTIVITY	1.0	APPROVED
IMG-TEACHER-CLASSROOM-V1	TEACHER_CLASSROOM	1.0	APPROVED
IMG-PUZZLE-CHALLENGE-V1	PUZZLE_CHALLENGE	1.0	APPROVED
IMG-BENEFIT-V1	BENEFIT	1.0	APPROVED
IMG-INFOGRAPHIC-V1	INFOGRAPHIC	1.0	APPROVED
IMG-COMPETITION-V1	COMPETITION	1.0	APPROVED
IMG-PRODUCT-BOX-V1	PRODUCT_BOX	1.0	APPROVED
