sku,product_name,thai_name,grade_band,target,purpose,positioning,core_hook,primary_offer,channels,launch_priority,claim_safety
BK-EL-MIX-EASY-01,ประถมต้น Mixed Sudoku Pack EASY,ซูโดกุ ประถมต้น แบบผสม ระดับ EASY,ประถมต้น,นักเรียนประถมต้น / ผู้เริ่มต้น / ผู้ปกครอง / ครูประถม,เริ่มฝึกซูโดกุอย่างเป็นระบบ ฝึกสมาธิ การสังเกต และตรรกะพื้นฐาน ในระดับ EASY,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับประถมต้น ระดับ EASY,เริ่มซูโดกุอย่างมั่นใจสำหรับประถมต้น ด้วยโจทย์ผสม 500 ข้อในระดับง่าย,PDF + POD-ready workbook,"Facebook/LINE OA สำหรับผู้ปกครอง, Marketplace PDF, โพสต์ตัวอย่างใบงาน, bundle ตามช่วงชั้น",A,"No official claim, no real exam claim, no guaranteed winning claim"
BK-EL-MIX-MEDIUM-01,ประถมต้น Mixed Sudoku Pack MEDIUM,ซูโดกุ ประถมต้น แบบผสม ระดับ MEDIUM,ประถมต้น,นักเรียนประถมต้น / ผู้เริ่มต้น / ผู้ปกครอง / ครูประถม,เริ่มฝึกซูโดกุอย่างเป็นระบบ ฝึกสมาธิ การสังเกต และตรรกะพื้นฐาน ในระดับ MEDIUM,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับประถมต้น ระดับ MEDIUM,ฝึกต่อเนื่องให้คล่องขึ้นสำหรับประถมต้น ด้วยซูโดกุหลายรูปแบบระดับกลาง,PDF + POD-ready workbook,"Facebook/LINE OA สำหรับผู้ปกครอง, Marketplace PDF, โพสต์ตัวอย่างใบงาน, bundle ตามช่วงชั้น",B,"No official claim, no real exam claim, no guaranteed winning claim"
BK-EL-MIX-HARD-01,ประถมต้น Mixed Sudoku Pack HARD,ซูโดกุ ประถมต้น แบบผสม ระดับ HARD,ประถมต้น,นักเรียนประถมต้น / ผู้เริ่มต้น / ผู้ปกครอง / ครูประถม,เริ่มฝึกซูโดกุอย่างเป็นระบบ ฝึกสมาธิ การสังเกต และตรรกะพื้นฐาน ในระดับ HARD,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับประถมต้น ระดับ HARD,ยกระดับความท้าทายสำหรับประถมต้น ด้วยโจทย์ผสมระดับยาก 500 ข้อ,PDF + POD-ready workbook,"Facebook/LINE OA สำหรับผู้ปกครอง, Marketplace PDF, โพสต์ตัวอย่างใบงาน, bundle ตามช่วงชั้น",B,"No official claim, no real exam claim, no guaranteed winning claim"
BK-EL-MIX-EXPERT-01,ประถมต้น Mixed Sudoku Pack EXPERT,ซูโดกุ ประถมต้น แบบผสม ระดับ EXPERT,ประถมต้น,นักเรียนประถมต้น / ผู้เริ่มต้น / ผู้ปกครอง / ครูประถม,เริ่มฝึกซูโดกุอย่างเป็นระบบ ฝึกสมาธิ การสังเกต และตรรกะพื้นฐาน ในระดับ EXPERT,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับประถมต้น ระดับ EXPERT,ฝึกตรรกะเข้มข้นสำหรับประถมต้น ด้วยซูโดกุหลายรูปแบบระดับ Expert,PDF + POD-ready workbook,"Facebook/LINE OA สำหรับผู้ปกครอง, Marketplace PDF, โพสต์ตัวอย่างใบงาน, bundle ตามช่วงชั้น",B,"No official claim, no real exam claim, no guaranteed winning claim"
BK-EL-MIX-DEVIL-01,ประถมต้น Mixed Sudoku Pack DEVIL,ซูโดกุ ประถมต้น แบบผสม ระดับ DEVIL,ประถมต้น,นักเรียนประถมต้น / ผู้เริ่มต้น / ผู้ปกครอง / ครูประถม,เริ่มฝึกซูโดกุอย่างเป็นระบบ ฝึกสมาธิ การสังเกต และตรรกะพื้นฐาน ในระดับ DEVIL,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับประถมต้น ระดับ DEVIL,ท้าทายระดับสูงสุดสำหรับประถมต้น ด้วยซูโดกุผสม 500 ข้อ,PDF + POD-ready workbook,"Facebook/LINE OA สำหรับผู้ปกครอง, Marketplace PDF, โพสต์ตัวอย่างใบงาน, bundle ตามช่วงชั้น",B,"No official claim, no real exam claim, no guaranteed winning claim"
BK-UP-MIX-EASY-01,ประถมปลาย Mixed Sudoku Pack EASY,ซูโดกุ ประถมปลาย แบบผสม ระดับ EASY,ประถมปลาย,นักเรียนประถมปลาย / เด็กโต / ผู้ปกครอง / ครูคณิต,ฝึก 9x9 และ variant ระดับประถมปลาย เพื่อเพิ่มความคล่อง ความแม่น และเตรียมต่อยอดสู่การแข่งขัน ในระดับ EASY,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับประถมปลาย ระดับ EASY,เริ่มซูโดกุอย่างมั่นใจสำหรับประถมปลาย ด้วยโจทย์ผสม 500 ข้อในระดับง่าย,PDF + POD-ready workbook,"Facebook/LINE OA สำหรับผู้ปกครอง, Marketplace PDF, โพสต์ตัวอย่างใบงาน, bundle ตามช่วงชั้น",A,"No official claim, no real exam claim, no guaranteed winning claim"
BK-UP-MIX-MEDIUM-01,ประถมปลาย Mixed Sudoku Pack MEDIUM,ซูโดกุ ประถมปลาย แบบผสม ระดับ MEDIUM,ประถมปลาย,นักเรียนประถมปลาย / เด็กโต / ผู้ปกครอง / ครูคณิต,ฝึก 9x9 และ variant ระดับประถมปลาย เพื่อเพิ่มความคล่อง ความแม่น และเตรียมต่อยอดสู่การแข่งขัน ในระดับ MEDIUM,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับประถมปลาย ระดับ MEDIUM,ฝึกต่อเนื่องให้คล่องขึ้นสำหรับประถมปลาย ด้วยซูโดกุหลายรูปแบบระดับกลาง,PDF + POD-ready workbook,"Facebook/LINE OA สำหรับผู้ปกครอง, Marketplace PDF, โพสต์ตัวอย่างใบงาน, bundle ตามช่วงชั้น",A,"No official claim, no real exam claim, no guaranteed winning claim"
BK-UP-MIX-HARD-01,ประถมปลาย Mixed Sudoku Pack HARD,ซูโดกุ ประถมปลาย แบบผสม ระดับ HARD,ประถมปลาย,นักเรียนประถมปลาย / เด็กโต / ผู้ปกครอง / ครูคณิต,ฝึก 9x9 และ variant ระดับประถมปลาย เพื่อเพิ่มความคล่อง ความแม่น และเตรียมต่อยอดสู่การแข่งขัน ในระดับ HARD,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับประถมปลาย ระดับ HARD,ยกระดับความท้าทายสำหรับประถมปลาย ด้วยโจทย์ผสมระดับยาก 500 ข้อ,PDF + POD-ready workbook,"Facebook/LINE OA สำหรับผู้ปกครอง, Marketplace PDF, โพสต์ตัวอย่างใบงาน, bundle ตามช่วงชั้น",B,"No official claim, no real exam claim, no guaranteed winning claim"
BK-UP-MIX-EXPERT-01,ประถมปลาย Mixed Sudoku Pack EXPERT,ซูโดกุ ประถมปลาย แบบผสม ระดับ EXPERT,ประถมปลาย,นักเรียนประถมปลาย / เด็กโต / ผู้ปกครอง / ครูคณิต,ฝึก 9x9 และ variant ระดับประถมปลาย เพื่อเพิ่มความคล่อง ความแม่น และเตรียมต่อยอดสู่การแข่งขัน ในระดับ EXPERT,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับประถมปลาย ระดับ EXPERT,ฝึกตรรกะเข้มข้นสำหรับประถมปลาย ด้วยซูโดกุหลายรูปแบบระดับ Expert,PDF + POD-ready workbook,"Facebook/LINE OA สำหรับผู้ปกครอง, Marketplace PDF, โพสต์ตัวอย่างใบงาน, bundle ตามช่วงชั้น",B,"No official claim, no real exam claim, no guaranteed winning claim"
BK-UP-MIX-DEVIL-01,ประถมปลาย Mixed Sudoku Pack DEVIL,ซูโดกุ ประถมปลาย แบบผสม ระดับ DEVIL,ประถมปลาย,นักเรียนประถมปลาย / เด็กโต / ผู้ปกครอง / ครูคณิต,ฝึก 9x9 และ variant ระดับประถมปลาย เพื่อเพิ่มความคล่อง ความแม่น และเตรียมต่อยอดสู่การแข่งขัน ในระดับ DEVIL,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับประถมปลาย ระดับ DEVIL,ท้าทายระดับสูงสุดสำหรับประถมปลาย ด้วยซูโดกุผสม 500 ข้อ,PDF + POD-ready workbook,"Facebook/LINE OA สำหรับผู้ปกครอง, Marketplace PDF, โพสต์ตัวอย่างใบงาน, bundle ตามช่วงชั้น",B,"No official claim, no real exam claim, no guaranteed winning claim"
